deal_unique_id,from_currency_ISO_code,to_currency_ISO_code,deal_timestamp,deal_amount
1,INR,EURO,09/29/1981,2160
2,INR,INR,05-12-2068,2014
3,AED,USD,02/17/2024,1499
4,USD,INR,08-09-1946,611
5,EURO,USD,03/28/1961,24
6,INR,USD,06-08-1955,276
7,AED,AED,02/21/2031,1268
8,EURO,AED,09/19/1986,447
9,INR,EURO,03/19/1979,1826
10,AED,AED,07/31/1940,1490
11,AED,USD,07-11-1957,1485
12,INR,INR,01-04-2041,2276
13,INR,INR,01/20/2069,2467
14,USD,INR,11/23/1970,2455
15,EURO,INR,01/27/2050,41
16,EURO,USD,11/25/1948,1367
17,EURO,EURO,04-03-1966,1398
18,AED,EURO,04/14/2012,639
19,INR,EURO,08/17/1965,283
20,AED,EURO,04/14/2004,1717
21,INR,INR,12-04-2001,1131
22,USD,AED,03/31/2023,182
23,USD,EURO,04-09-1966,56
24,INR,USD,11-08-1965,561
25,EURO,INR,06/19/1947,1383
26,AED,USD,11/19/1933,912
27,USD,INR,06/21/1963,446
28,AED,INR,11-08-2048,2905
29,AED,INR,05-01-2013,1527
30,AED,USD,06-02-2009,1406
31,AED,USD,02/13/2032,2529
32,AED,AED,10-03-2024,2535
33,AED,USD,01/29/1939,1024
34,EURO,AED,09-04-2015,2819
35,INR,USD,10/20/2018,37
36,INR,INR,06-02-2007,10
37,INR,USD,09/17/1939,1658
38,USD,AED,01/29/1948,2876
39,USD,INR,07/22/2062,1731
40,USD,AED,06-05-1907,2104
41,USD,EURO,11/25/2009,1484
42,USD,AED,12/17/1989,2423
43,INR,AED,06/22/1942,927
44,AED,EURO,04-03-1955,1728
45,EURO,AED,03-01-1906,1182
46,EURO,USD,08/19/1986,2589
47,EURO,USD,02-11-2002,498
48,INR,EURO,05/31/2051,2842
49,AED,INR,11-01-1935,2482
50,USD,AED,02/20/2030,2835
51,USD,EURO,11-08-2048,891
52,AED,INR,03/30/2006,2317
53,EURO,AED,02/20/1951,647
54,EURO,EURO,12-11-1939,79
55,AED,USD,05-11-1926,1401
56,AED,AED,07-08-2014,1400
57,USD,AED,09-06-1947,2181
58,EURO,USD,05/25/1938,2916
59,USD,EURO,10-02-2061,865
60,USD,USD,03/19/1924,1425
61,USD,EURO,10/22/2038,2784
62,INR,EURO,11/23/1922,2393
63,USD,INR,06-09-1955,2619
64,USD,INR,09/30/1923,1169
65,USD,EURO,09/14/2034,1114
66,INR,AED,01-12-1961,238
67,AED,EURO,06-10-1989,1013
68,AED,INR,08-04-2016,462
69,USD,USD,06/13/2062,295
70,EURO,USD,07/28/2066,2175
71,AED,AED,12-09-2037,2749
72,USD,EURO,01/23/1931,879
73,USD,INR,10/29/1930,791
74,USD,USD,05/13/1961,1486
75,AED,INR,02/27/1948,465
76,AED,INR,03/30/2004,2091
77,INR,USD,11/19/1974,1640
78,AED,AED,08/29/1955,722
79,AED,INR,06-02-1935,1280
80,INR,EURO,07/28/2059,160
81,AED,INR,07/31/1976,102
82,USD,USD,12-08-2053,2844
83,INR,USD,08/17/2057,917
84,INR,EURO,03/31/1998,161
85,AED,AED,03/25/1981,238
86,USD,EURO,07/24/2025,2637
87,EURO,EURO,05/25/2032,1282
88,EURO,AED,03-12-1967,160
89,USD,AED,05/18/1918,2864
90,AED,INR,03/20/1935,1897
91,EURO,EURO,04/16/2032,2775
92,INR,EURO,06/21/1911,2047
93,INR,INR,03/17/2026,1352
94,USD,INR,07/20/1939,2757
95,USD,AED,09-10-1900,1993
96,INR,USD,06-09-1949,979
97,INR,EURO,03-06-1961,2228
98,INR,AED,11/13/1938,1183
99,AED,AED,10/19/2020,726
100,EURO,AED,10/23/1988,2092
101,USD,INR,08/27/1941,1080
102,AED,INR,12-01-1977,1880
103,EURO,EURO,01-05-1947,950
104,INR,USD,11-02-2030,467
105,INR,EURO,08-09-1988,1998
106,AED,INR,08-05-1930,1007
107,INR,AED,03/25/1953,273
108,USD,AED,03-08-2010,2364
109,EURO,INR,05-04-1955,1104
110,INR,INR,04/20/2014,2730
111,EURO,USD,01/28/1989,1473
112,AED,USD,08/23/2017,1799
113,EURO,INR,09/15/1989,2099
114,AED,EURO,05/19/2053,897
115,USD,USD,07/17/2012,1327
116,USD,AED,04/15/1927,1371
117,USD,INR,03/18/1913,1982
118,USD,INR,10/17/2058,1652
119,USD,INR,04/24/1976,2279
120,USD,INR,12-10-1957,648
121,INR,INR,11/18/2064,688
122,USD,AED,11/28/1926,1652
123,USD,AED,11/19/1916,326
124,USD,AED,12-03-1949,2042
125,USD,USD,12-10-1999,1659
126,INR,AED,01/16/1948,808
127,INR,USD,10/27/2039,792
128,INR,INR,04/20/2042,2370
129,EURO,EURO,05/31/1911,1115
130,AED,EURO,08-12-1981,2140
131,USD,INR,01/19/2018,2982
132,EURO,INR,12/20/2027,2028
133,AED,EURO,01/29/1971,1110
134,INR,EURO,11-09-2027,1496
135,USD,USD,06/29/2019,631
136,USD,EURO,02-02-2037,2901
137,AED,EURO,08-09-2020,24
138,USD,INR,02/26/2003,2348
139,EURO,EURO,10/21/1990,2747
140,EURO,INR,05/20/1979,2565
141,INR,EURO,10/19/1995,2605
142,EURO,USD,09/26/2032,2062
143,AED,EURO,07/23/1933,1625
144,USD,INR,02/24/1956,817
145,USD,AED,04-05-1934,809
146,INR,AED,03-11-2043,661
147,USD,AED,03/18/1906,2352
