deal_unique_id,from_currency_ISO_code,to_currency_ISO_code,deal_timestamp,deal_amount
1,USD,EURO,09/29/1987,6771
2,AED,USD,12/14/1958,1961
3,AED,AED,12/16/2032,6640
4,USD,EURO,08/15/1912,9360
5,INR,USD,11/07/1900,3552
6,EURO,USD,11/03/1902,3529
7,EURO,EURO,12/30/2039,5771
8,AED,USD,05/05/1925,4283
9,INR,EURO,09/10/2042,4804
10,AED,EURO,03/18/2027,7753
11,AED,INR,09/02/1989,9364
12,INR,USD,11/02/1942,7382
13,EURO,INR,11/10/1952,2893
14,USD,EURO,03/10/1922,8500
15,USD,INR,10/06/1956,2014
16,USD,INR,12/03/2001,3380
17,AED,INR,07/27/2023,6874
18,AED,USD,10/24/1956,6004
19,AED,AED,03/07/1945,5451
20,INR,INR,04/16/1939,1739
21,AED,USD,12/16/2037,8912
22,USD,INR,06/21/1955,5821
23,USD,INR,03/22/1968,4126
24,USD,AED,10/19/2046,85
25,USD,EURO,03/30/1995,6108
26,AED,AED,12/05/2001,196
27,USD,INR,02/01/1916,2104
28,USD,AED,10/21/1979,9152
29,EURO,INR,06/24/1977,2182
30,EURO,EURO,10/15/1906,905
31,INR,AED,05/21/1914,8642
32,EURO,AED,08/11/1984,9499
33,EURO,AED,02/04/1978,2418
34,USD,USD,06/18/1940,3762
35,INR,INR,01/11/2047,1122
36,AED,USD,08/26/1942,437
37,USD,AED,06/09/2034,6169
38,AED,EURO,07/07/1939,5565
39,USD,EURO,12/28/2057,8431
40,INR,USD,09/16/2054,439
41,USD,INR,08/27/1950,9920
42,EURO,EURO,09/22/1925,8361
43,EURO,AED,08/01/1975,6787
44,AED,EURO,02/10/2039,5260
45,EURO,INR,10/29/2003,6744
46,AED,USD,11/26/2016,2863
47,EURO,USD,01/29/1946,1752
48,INR,USD,03/11/1986,8497
49,AED,INR,03/31/1934,3753
50,USD,INR,06/24/1975,6930
51,AED,INR,04/09/2010,8665
52,EURO,USD,09/29/2068,8877
53,USD,INR,11/08/1983,3575
54,AED,INR,05/02/1931,2124
55,USD,EURO,08/14/2048,99
56,INR,INR,05/02/1984,4238
57,AED,AED,07/11/1987,6239
58,INR,EURO,10/12/1931,9346
59,USD,EURO,01/21/1987,7092
60,AED,AED,06/25/1920,1497
61,AED,EURO,05/25/2046,4938
62,USD,EURO,11/16/1948,5625
63,AED,EURO,01/10/1969,3274
